DATE,USACPICORAINMEI
1960-01-01,12.6489615605041
1961-01-01,12.7900024699359
1962-01-01,12.9654436011803
1963-01-01,13.1271246436997
1964-01-01,13.3232059080317
1965-01-01,13.5158471501824
1966-01-01,13.8460892795837
1967-01-01,14.3276923849605
1968-01-01,14.9916166659443
1969-01-01,15.8619422778038
1970-01-01,16.8526686660076
1971-01-01,17.6438737676981
1972-01-01,18.1839572501564
1973-01-01,18.8169213315087
1974-01-01,20.3683713352584
1975-01-01,22.246623446228
1976-01-01,23.7086328732648
1977-01-01,25.1912824333891
1978-01-01,27.0316943003649
1979-01-01,29.6633112690311
1980-01-01,33.3475750251638
1981-01-01,36.8391975391457
1982-01-01,39.5671351288873
1983-01-01,41.1220251548182
1984-01-01,43.1550782639446
1985-01-01,45.043650441458
1986-01-01,46.8634221753462
1987-01-01,48.7932746190348
1988-01-01,50.9467285045054
1989-01-01,53.2412232994078
1990-01-01,55.9175605564305
1991-01-01,58.6626982570784
1992-01-01,60.8092720981865
1993-01-01,62.8182450520441
1994-01-01,64.6104966084821
1995-01-01,66.543789074352
1996-01-01,68.3429206751525
1997-01-01,69.9734911890712
1998-01-01,71.5731015033585
1999-01-01,73.0591910856641
2000-01-01,74.8376825533771
2001-01-01,76.8363354406909
2002-01-01,78.6182669305852
2003-01-01,79.7637943169458
2004-01-01,81.1673233669011
2005-01-01,82.9286147237077
2006-01-01,85.0029480990094
2007-01-01,86.9895265084669
2008-01-01,88.988488997777
2009-01-01,90.5007915491039
2010-01-01,91.3682963427748
2011-01-01,92.8836949140648
2012-01-01,94.843544351174
2013-01-01,96.5157047332641
2014-01-01,98.2044116220462
2015-01-01,100.0
2016-01-01,102.210902255898
2017-01-01,104.096172012117
2018-01-01,106.323551974263
2019-01-01,108.654132601847
2020-01-01,110.504314131818
2021-01-01,114.451567583708
